Date,GL Account,Credit,Debit,Property Name
06/10/2025,1025 - Infinity Magnolia Vallley Bank,,"73,000.00",Infinity Magnolia LLC
06/11/2025,1025 - Infinity Magnolia Vallley Bank,"27,615.96",,Infinity Magnolia LLC
06/11/2025,1025 - Infinity Magnolia Vallley Bank,"45,991.16",,Infinity Magnolia LLC
06/17/2025,1025 - Infinity Magnolia Vallley Bank,105.30,,Infinity Magnolia LLC
06/10/2025,1026 - University Townhomes Valley Bank,,"41,000.00",University Townhomes
06/16/2025,1026 - University Townhomes Valley Bank,"15,731.26",,University Townhomes
06/16/2025,1026 - University Townhomes Valley Bank,"25,577.34",,University Townhomes
06/17/2025,1026 - University Townhomes Valley Bank,105.30,,University Townhomes
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,695.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,698.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,463.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,141.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,928.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,606.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,106.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,158.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,898.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,150.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,4.50,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,9.50,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,4.50,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,9.50,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,499.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,904.00,Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,224.00",Clear Lake Palms
06/03/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,115.00",Clear Lake Palms
06/16/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,115.10,,Clear Lake Palms
06/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,445.00",Clear Lake Palms
06/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,563.00",Clear Lake Palms
06/17/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,597.00",Clear Lake Palms
06/25/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,"1,042.00",Clear Lake Palms
06/25/2025,1028 - Infinity Clear Lake - Chase (FR) Bank,,431.00,Clear Lake Palms
06/02/2025,1030 - Infinity Luna - Chase (FR) Bank,"33,459.06",,Luna At Hollywood
06/02/2025,1030 - Infinity Luna - Chase (FR) Bank,"65,462.31",,Luna At Hollywood
06/03/2025,1030 - Infinity Luna - Chase (FR) Bank,,"34,000.00",Luna At Hollywood
06/16/2025,1030 - Infinity Luna - Chase (FR) Bank,16.75,,Luna At Hollywood
06/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"5,498.74",,Zuli Shopping Plaza
06/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"9,309.14",,Zuli Shopping Plaza
06/20/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,"8,072.34",,Zuli Shopping Plaza
06/25/2025,1106 - Infinity Zuli Shopping LLC - Ocean Bank,,"15,889.80",Zuli Shopping Plaza
