Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
1001 Resident Referal,0,0,2,0,0,
1003 Resident Referal,0,0,3,1,0,
231 Recident Referral,0,0,2,2,0,
808 Resident Referral.,0,0,2,2,3,
Add On,0,0,2,2,4,
add on 28,0,0,1,0,0,
Addicional Tenant,0,0,1,0,0,
Additional Tenant,8,0,1,0,4,
aparments.com,0,0,1,1,1,
Apartment List,24,0,1,1,0,
apartment.com,0,0,1,1,1,
Apartments.com,429,1,11,5,3,
apartmentslists.com,0,0,1,0,0,
applicant referral,0,0,1,1,2,
Area referral,2,0,0,0,0,
Atlanta Apartment Magazine,83,0,1,0,0,
Called in,0,0,1,1,0,
Caller Didn't Provide Source,1,0,0,0,0,
Drive By,22,2,7,3,2,
Drive by b102,0,0,1,1,0,
employee,0,0,1,0,0,
Employee referral,2,0,0,0,0,
EveryApartment,3,0,0,0,0,
Facebook,21,0,10,9,5,
FAMILIAR WITH THE AREA,1,0,0,0,0,
Google,1,0,0,0,0,
Housing Program (DCA),1,1,0,0,0,
Infinity BH website,5,0,1,1,0,
NEW TENANTS CRUZ REFERRED PROSPECT,0,0,1,1,2,
No Source Recorded,70,2,49,28,35,
orlando housing,0,0,1,0,0,
Phone Call,3,0,0,0,0,
Present Events,1,0,0,0,0,
Realtor.com,1,0,1,0,0,
REFERIDO POR EL A4,0,0,1,1,1,
Referral 1035,0,0,1,1,0,
referral 3007,0,0,1,0,0,
referral 503,0,0,4,4,3,
referrall,0,0,1,1,1,
REFERRED BY A SISTER NEAR BY PROPERTY,1,0,0,0,0,
REFERRED BY DISFRANYERLIN,0,0,1,0,0,
REFERRED BY NIURKA,0,0,1,0,0,
REFERRED BY UNIT C01 CRUZ,0,0,1,1,1,
Rent.,0,1,0,0,0,
Resident addon,0,0,1,1,1,
Resident Referral,34,0,0,0,13,
Shared Application Link,17,0,17,13,9,
Uloop,25,1,0,0,0,
USED TO LIVE IN HERE,0,0,1,1,0,
Walk In,213,2,98,64,35,
Website,104,2,51,24,9,
Website (Apartments.com),5,0,1,1,1,
Website (zillow),7,0,2,0,0,
WORK AT THE PROPERTY,0,0,1,1,0,
Zillow Rental Network,923,11,21,8,3,
Zillow.com,7,0,0,0,1,
Zumper,163,0,1,1,1,
