Date,GL Account,Credit,Debit,Property Name
06/04/2025,1150 - OPERATING CASH IN BANK,,946.00,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,138.00",Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,50.00,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,4.00,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,231.00",Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,090.00",Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,865.00,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,101.00",Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,914.00,Midway Manor Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,075.00",Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,075.00",Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,"2,075.00",Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,075.00",Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,"Infinity Magnolia 2, LLC"
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,"Infinity Magnolia 2, LLC"
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,100.00","Infinity Magnolia 2, LLC"
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,65.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,25.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,525.00",Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,45.00,Laguna Place
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Laguna Place
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,885.00",Laguna Place
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Grove at Temple Terrace
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Grove at Temple Terrace
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,225.00",Grove at Temple Terrace
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,025.00",Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Infinity Magnolia LLC
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,850.00",Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,000.00",Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,494.04,Collins Shopping Plaza
06/04/2025,1150 - OPERATING CASH IN BANK,,5.96,Collins Shopping Plaza
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,200.00",Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Luna At Hollywood
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Luna At Hollywood
06/04/2025,1150 - OPERATING CASH IN BANK,,"2,275.00",Luna At Hollywood
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,865.00",Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,The Standard at 2690
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,The Standard at 2690
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,125.00",The Standard at 2690
06/04/2025,1150 - OPERATING CASH IN BANK,,2.00,The Standard at 2690
06/04/2025,1150 - OPERATING CASH IN BANK,,25.00,The Standard at 2690
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,University Townhomes
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,University Townhomes
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,050.00",University Townhomes
06/04/2025,1150 - OPERATING CASH IN BANK,,200.00,University Townhomes
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,200.00",Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,625.00",Lakeside Condominiums
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,000.00",Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,10.50,Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,4.50,Castle Creek Apartments
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,65.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,25.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,500.00",Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,815.00",Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,85.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,25.00,Azure Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,"1,450.00",Parc Place Villas
06/04/2025,1150 - OPERATING CASH IN BANK,,9.50,Clear Lake Palms
06/04/2025,1150 - OPERATING CASH IN BANK,,3.00,Clear Lake Palms
