Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
2108 referral,1,0,0,0,0,
501 refferral,2,0,0,0,0,
808 Resident Referral.,3,0,2,1,0,
a relative,1,0,0,0,0,
ad on,1,0,0,0,0,
Add On,3,0,3,3,4,
add on 02-101,1,0,0,0,0,
add on 05-202,1,0,0,0,0,
add on 13-202,1,0,1,1,1,
adding on a unit,1,0,1,1,1,
Additional Tenant,1,0,2,2,3,
additional tenat,1,0,1,1,1,
aparments.com,1,0,0,0,0,
Apartment List,10,0,0,0,0,
Apartments.com,316,1,10,8,6,
applicant referral,1,0,1,0,0,
applied in the past,1,0,0,0,0,
APPLYING  WITH ANOTHER APPLICANT,1,0,1,0,0,
Atlanta Apartment Magazine,80,0,1,0,0,
Caller Didn't Provide Source,1,0,0,0,0,
d203,1,0,1,0,0,
Drive By,18,0,8,2,2,
Drive by s203,1,0,1,1,1,
Easter event,1,0,1,1,0,
EveryApartment,4,0,0,0,0,
Facebook,25,0,18,10,5,
Familiar with the area,3,0,1,1,0,
Family Friend,1,0,1,1,1,
family used to stay here,1,0,0,0,0,
Google,1,0,2,1,3,
iliana res ref,1,0,0,0,0,
INFINITY BH,2,0,0,0,0,
Infinity BH website,4,0,0,0,0,
J Brown refferal,0,0,1,0,0,
knows the area,1,0,0,0,0,
Maria pastrana res ref.,1,0,0,0,0,
No Source Recorded,58,1,37,30,26,
Past resident,1,0,1,1,0,
Patricia gonzalez 02-202 res ref.,1,0,1,0,0,
ref16-303 Clauia vasqus,1,0,0,0,0,
Referral 1035,1,0,0,0,0,
Rental Source,1,0,0,0,0,
res ref el gordo,1,0,0,0,0,
res ref. Evelyn,1,0,0,0,0,
Res referral,1,0,1,1,0,
Resident addon,1,0,0,0,0,
Resident Referral,0,0,1,0,0,
Rome Cruz,1,0,0,0,0,
Shared Application Link,10,0,10,6,1,
Show Me The Rent,1,0,0,0,0,
this es an add on 13-301,1,0,0,0,0,
Uloop,32,0,1,0,0,
Walk In,190,8,86,58,46,
web google,1,0,0,0,0,
Website,93,3,51,13,5,
Website (Apartments.com),4,0,0,0,0,
Website (zillow),3,0,1,1,1,
Word Of Mouth,1,1,0,0,0,
Y Braddock refferal,2,0,1,1,0,
Zillow Rental Network,656,15,9,6,8,
Zumper,163,0,3,1,0,
