Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
2108 referral,1,0,0,0,0,
501 refferral,2,0,0,0,0,
808 Resident Referral.,4,0,2,1,1,
a relative,1,0,0,0,0,
ad on,1,0,0,0,0,
Add On,4,0,3,3,4,
add on 02-101,1,0,0,0,0,
add on 05-202,1,0,0,0,0,
adding on a unit,1,0,1,1,1,
Additional Tenant,1,0,2,2,3,
additional tenat,1,0,1,1,1,
aparments.com,3,0,1,0,0,
Apartment List,11,0,0,0,0,
apartment.com,3,0,1,0,0,
Apartments.com,300,1,9,7,4,
applicant referral,1,0,1,0,0,
applied in the past,1,0,0,0,0,
APPLYING  WITH ANOTHER APPLICANT,1,0,1,0,0,
Atlanta Apartment Magazine,76,0,1,0,0,
Caller Didn't Provide Source,1,0,0,0,0,
d203,1,0,1,0,0,
Drive By,19,0,9,2,2,
Drive by s203,1,0,1,1,1,
Easter event,1,0,1,1,0,
EveryApartment,2,0,0,0,0,
Facebook,25,0,15,8,5,
Familiar with the area,3,0,1,1,0,
Family Friend,1,0,1,1,1,
Google,1,0,2,1,3,
iliana res ref,1,0,0,0,0,
INFINITY BH,1,0,0,0,0,
Infinity BH website,4,0,0,0,0,
knows the area,1,0,0,0,0,
Maria pastrana res ref.,1,0,0,0,0,
NEW TENANTS CRUZ REFERRED PROSPECT,1,0,0,0,0,
No Source Recorded,69,1,47,27,23,
orlando housing,1,1,1,0,0,
Past resident,1,0,1,1,0,
Patricia gonzalez 02-202 res ref.,1,0,1,0,0,
Realtor.com,0,0,1,0,0,
ref16-303 Clauia vasqus,1,0,0,0,0,
Referral 1035,1,0,0,0,0,
REFFERED FROM UNIT 014,1,0,0,0,0,
Rental Source,1,0,0,0,0,
res ref el gordo,1,0,0,0,0,
Res referral,1,0,1,1,0,
Resident addon,1,0,0,0,0,
Resident Referral,0,0,1,0,0,
Resident Referral Apt # 1001,2,0,0,0,0,
Rome Cruz,1,0,0,0,0,
Shared Application Link,15,0,15,8,3,
this es an add on 13-301,1,0,0,0,0,
Uloop,26,1,1,0,0,
Walk In,193,8,88,57,46,
web google,1,0,0,0,0,
Website,98,4,53,17,4,
Website (Apartments.com),5,0,1,0,0,
Website (zillow),1,0,1,1,1,
Word Of Mouth,1,1,0,0,0,
Y Braddock refferal,2,0,1,1,0,
Zillow Rental Network,632,17,11,6,11,
Zumper,168,0,3,1,0,
